Category ID,Category Name,Article Number,Title,Slug,Priority,Tags,Status
darshan,Darshan Guide,1,तिरुमला दर्शन के प्रकार 2026 — पूरी जानकारी एक जगह,/tirumala-darshan-ke-prakar/,high,"pillar, published",DONE
darshan,Darshan Guide,2,"Sarva Darshan (निशुल्क दर्शन) — टोकन सिस्टम, waiting time और जरूरी टिप्स",/sarva-darshan-guide-hindi/,high,,DONE
darshan,Darshan Guide,3,"Special Entry Darshan ₹300 — क्या है, कैसे काम करता है और क्या मिलता है?",/special-entry-darshan-300-kya-hai/,high,,DONE
darshan,Darshan Guide,4,Divya Darshan — पैदल यात्रियों के लिए free token guide,/divya-darshan-free-token-guide/,medium,,
darshan,Darshan Guide,5,तिरुमला दर्शन में कितना समय लगता है? — honest waiting time guide,/tirumala-darshan-waiting-time/,high,snippet,DONE
darshan,Darshan Guide,6,तिरुमला दर्शन का सही समय — भीड़ से कैसे बचें (month-by-month),/tirumala-darshan-best-time/,high,,DONE
darshan,Darshan Guide,7,"Vaikuntam Queue Complex (VQC) guide — कौन सा hall, कहाँ जाएं",/vqc-vaikuntam-queue-complex-guide/,high,gap,DONE
darshan,Darshan Guide,8,VIP / Privilege Darshan — कौन qualify करता है और कैसे मिलता है?,/tirumala-privilege-darshan-guide/,medium,,
darshan,Darshan Guide,9,रात का दर्शन तिरुमला में — क्या संभव है? पूरी जानकारी,/tirumala-night-darshan/,low,,
darshan,Darshan Guide,10,पहली बार तिरुमला जाने वालों के लिए complete experience guide,/tirumala-first-time-visitor-guide/,medium,,
darshan,Darshan Guide,11,तिरुमला दर्शन token system explained — ePass vs physical token vs online slot,/tirumala-darshan-token-system/,high,gap,DONE
darshan,Darshan Guide,12,तिरुमला में भीड़ forecast — किस दिन avoid करें 2026,/tirumala-crowd-forecast-2026/,medium,news,
darshan,Darshan Guide,13,"तिरुमला दर्शन के बाद क्या करें — exit route, prasadam, locker",/tirumala-darshan-ke-baad-kya-karen/,medium,gap,
darshan,Darshan Guide,14,तिरुमला मंदिर का इतिहास — श्री वेंकटेश्वर स्वामी की कहानी,/tirumala-mandir-itihas/,medium,,
darshan,Darshan Guide,15,Senior Citizens के लिए तिरुमला दर्शन — special facilities और offline counter guide,/senior-citizen-tirumala-darshan/,high,,DONE
darshan,Darshan Guide,16,"Differently-Abled Pilgrims के लिए तिरुमला — wheelchair, ramps और priority entry",/differently-abled-tirumala-darshan/,low,gap,
booking,TTD Ticket Booking,17,TTD Special Entry Darshan ₹300 online booking — step by step guide 2026,/ttd-special-entry-darshan-online-booking/,high,pillar,DONE
booking,TTD Ticket Booking,18,TTD Sarva Darshan (SSD) ticket booking — पूरी प्रक्रिया,/ttd-sarva-darshan-booking/,high,,DONE
booking,TTD Ticket Booking,19,"TTD Seva ticket booking guide — सभी sevas की list, कीमत और booking",/ttd-seva-ticket-booking/,high,,DONE
booking,TTD Ticket Booking,20,TTD accommodation online booking — cottage और guest house कैसे बुक करें,/ttd-accommodation-online-booking/,high,,DONE
booking,TTD Ticket Booking,21,TTD darshan slot cancel होने पर क्या करें — refund guide,/ttd-darshan-ticket-cancel-refund/,medium,,
booking,TTD Ticket Booking,22,TTD ePass क्या है और कैसे use करें?,/ttd-epass-kya-hai/,medium,snippet,
booking,TTD Ticket Booking,23,"TTD mobile app — download, setup और ticket booking कैसे करें",/ttd-mobile-app-guide/,medium,,
booking,TTD Ticket Booking,24,TTD darshan available dates कैसे check करें online,/ttd-darshan-dates-kaise-check-karen/,high,snippet,DONE
booking,TTD Ticket Booking,25,Offline TTD ticket booking — Tirupati में कहाँ और कैसे मिलती है ticket,/ttd-offline-ticket-booking/,low,,
booking,TTD Ticket Booking,26,TTD booking site crash होने पर क्या करें — 5 tips जो काम आएंगे,/ttd-booking-site-crash-tips/,medium,gap,DONE
booking,TTD Ticket Booking,27,TTD Tatkal / last-minute darshan ticket — क्या possible है?,/ttd-tatkal-darshan-ticket/,high,,DONE
booking,TTD Ticket Booking,28,NRI Darshan guide — विदेश से आने वालों के लिए TTD darshan process,/nri-tirumala-darshan-guide/,medium,gap,DONE
booking,TTD Ticket Booking,29,TTD darshan 2026 — latest rules और changes (updated),/ttd-darshan-rules-2026/,high,news,DONE
reach,How to Reach,30,"दिल्ली से तिरुपति कैसे जाएं — ट्रेन, फ्लाइट और बस guide 2026",/delhi-se-tirupati-kaise-jayen/,high,north,DONE
reach,How to Reach,31,लखनऊ से तिरुपति कैसे जाएं — सबसे अच्छा route कौन सा है?,/lucknow-se-tirupati-kaise-jayen/,high,north,DONE
reach,How to Reach,32,"वाराणसी से तिरुपति — train, bus और road से पूरी जानकारी",/varanasi-se-tirupati-kaise-jayen/,high,north,DONE
reach,How to Reach,33,जयपुर से तिरुपति कैसे पहुँचें — सस्ता और आसान तरीका,/jaipur-se-tirupati-kaise-jayen/,medium,north,
reach,How to Reach,34,पटना से तिरुपति — train route और यात्रा की पूरी planning,/patna-se-tirupati-kaise-jayen/,medium,north,
reach,How to Reach,35,"मुंबई से तिरुपति — train, flight और road से पूरी guide",/mumbai-se-tirupati-kaise-jayen/,high,,DONE
reach,How to Reach,36,Chennai से तिरुमला — सबसे तेज़ और सस्ता route,/chennai-se-tirumala-kaise-jayen/,high,,DONE
reach,How to Reach,37,Hyderabad से तिरुपति — सभी travel options की तुलना,/hyderabad-se-tirupati-kaise-jayen/,high,,DONE
reach,How to Reach,38,Bangalore से तिरुपति — fastest routes 2026,/bangalore-se-tirupati-kaise-jayen/,high,,DONE
reach,How to Reach,39,"तिरुपति airport guide — flights, taxi और Tirumala कैसे पहुँचें",/tirupati-airport-guide/,high,,DONE
reach,How to Reach,40,"तिरुपति से तिरुमला कैसे जाएं — bus, taxi और पैदल options",/tirupati-se-tirumala-kaise-jayen/,high,pillar,DONE
reach,How to Reach,41,Alipiri footpath trek guide — पैदल तिरुमला का पूरा अनुभव,/alipiri-footpath-trek-guide/,medium,,
reach,How to Reach,42,Srivari Mettu footpath — दूसरा पैदल रास्ता — complete guide,/srivari-mettu-footpath-guide/,medium,,
reach,How to Reach,43,"तिरुपति ghat road — क्या expect करें, timings और tips",/tirupati-ghat-road-guide/,low,,
stay,Hotels & Accommodation,44,"TTD guest houses और cottages — booking, availability और क्या expect करें",/ttd-guest-house-booking-guide/,high,pillar,DONE
stay,Hotels & Accommodation,45,तिरुपति में ₹1000 से कम होटल — budget pilgrims की पूरी list,/tirupati-budget-hotels-1000/,high,north,DONE
stay,Hotels & Accommodation,46,तिरुपति के धर्मशाला — free और low-cost रहने के options,/tirupati-dharamshala-guide/,high,north,DONE
stay,Hotels & Accommodation,47,TTD Tirumala cottages — कैसे book करें और availability tips,/ttd-tirumala-cottages-booking/,high,,DONE
stay,Hotels & Accommodation,48,तिरुपति railway station के पास होटल — top 10 picks,/tirupati-railway-station-hotels/,medium,,
stay,Hotels & Accommodation,49,Tirumala में pilgrims के लिए best stay options — complete list,/tirumala-stay-options-pilgrims/,medium,,
stay,Hotels & Accommodation,50,तिरुपति में family के साथ कहाँ ठहरें — family-friendly guide,/tirupati-family-stay-guide/,medium,north,
stay,Hotels & Accommodation,51,Last-minute तिरुपति accommodation — सब full हो जाए तो क्या करें?,/tirupati-last-minute-stay/,low,,
stay,Hotels & Accommodation,52,Tirupati में 3-star hotels — budget में comfort,/tirupati-3-star-hotels/,medium,,
stay,Hotels & Accommodation,53,तिरुपति accommodation reform 2026 — darshan ticket से कैसे जुड़ा है room?,/tirupati-accommodation-reform-2026/,medium,"news, gap",
